root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:56.613842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3964021783:3964021891, ack 643401746, win 313, length 108
20:25:56.636446 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4972:5008, ack 1, win 313, length 36
20:25:56.636564 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 5008:5172, ack 1, win 313, length 164
20:25:56.654138 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 2988, win 2051, length 0
20:25:56.654219 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 5172:6408, ack 1, win 313, length 1236
20:25:56.654461 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6408:6556, ack 1, win 313, length 148
20:25:56.654558 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6556:6592, ack 1, win 313, length 36
20:25:56.654671 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6592:6756, ack 1, win 313, length 164
20:25:56.654758 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6756:6792, ack 1, win 313, length 36
20:25:56.654884 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6792:6956, ack 1, win 313, length 164
20:25:56.654969 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6956:6992, ack 1, win 313, length 36
20:25:56.655085 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6992:7156, ack 1, win 313, length 164
20:25:56.655170 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7156:7192, ack 1, win 313, length 36
20:25:56.655268 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7192:7356, ack 1, win 313, length 164
20:25:56.655448 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7392:7556, ack 1, win 313, length 164
20:25:56.655642 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7592:7756, ack 1, win 313, length 164
20:25:56.655880 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7792:7956, ack 1, win 313, length 164
20:25:56.656082 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7992:8156, ack 1, win 313, length 164
20:25:56.656207 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8156:8320, ack 1, win 313, length 164
20:25:56.656380 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8320:8732, ack 1, win 313, length 412
20:25:56.656486 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 5172, win 2050, length 0
20:25:56.656585 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8732:8896, ack 1, win 313, length 164
20:25:56.656793 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8896:9428, ack 1, win 313, length 532
20:25:56.656953 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9428:9720, ack 1, win 313, length 292
20:25:56.657114 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9720:9884, ack 1, win 313, length 164
20:25:56.657252 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9884:10048, ack 1, win 313, length 164
20:25:56.657380 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10048:10212, ack 1, win 313, length 164
20:25:56.657501 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10212:10376, ack 1, win 313, length 164
20:25:56.657629 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10376:10540, ack 1, win 313, length 164
20:25:56.657758 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10540:10704, ack 1, win 313, length 164
20:25:56.657881 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10704:10868, ack 1, win 313, length 164
20:25:56.658003 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10868:11032, ack 1, win 313, length 164
20:25:56.658114 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11032:11196, ack 1, win 313, length 164
20:25:56.658261 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11196:11360, ack 1, win 313, length 164
20:25:56.658376 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11360:11524, ack 1, win 313, length 164
20:25:56.658496 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11524:11688, ack 1, win 313, length 164
20:25:56.658607 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11688:11852, ack 1, win 313, length 164
20:25:56.658716 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11852:12016, ack 1, win 313, length 164
20:25:56.658828 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12016:12180, ack 1, win 313, length 164
20:25:56.658943 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12180:12344, ack 1, win 313, length 164
20:25:56.659062 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12344:12508, ack 1, win 313, length 164
20:25:56.674414 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 6992, win 2051, length 0
20:25:56.674480 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12508:12672, ack 1, win 313, length 164
20:25:56.674717 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12672:12948, ack 1, win 313, length 276
20:25:56.674819 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12948:13112, ack 1, win 313, length 164
20:25:56.674927 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13112:13276, ack 1, win 313, length 164
20:25:56.675017 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13276:13440, ack 1, win 313, length 164
20:25:56.675135 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13440:13604, ack 1, win 313, length 164
20:25:56.675220 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13604:13768, ack 1, win 313, length 164
20:25:56.675328 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13768:13932, ack 1, win 313, length 164
20:25:56.675408 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13932:14096, ack 1, win 313, length 164
20:25:56.675482 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14096:14260, ack 1, win 313, length 164
20:25:56.675619 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14260:14424, ack 1, win 313, length 164
20:25:56.675718 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14424:14588, ack 1, win 313, length 164
20:25:56.675776 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 8732, win 2051, length 0
20:25:56.675866 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14588:14864, ack 1, win 313, length 276
20:25:56.675952 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14864:15028, ack 1, win 313, length 164
20:25:56.676028 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15028:15192, ack 1, win 313, length 164
20:25:56.676108 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15192:15356, ack 1, win 313, length 164
20:25:56.676213 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15356:15520, ack 1, win 313, length 164
20:25:56.676321 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15520:15684, ack 1, win 313, length 164
20:25:56.676441 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15684:15848, ack 1, win 313, length 164
20:25:56.676521 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15848:16012, ack 1, win 313, length 164
20:25:56.676596 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16012:16176, ack 1, win 313, length 164
20:25:56.676672 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16176:16340, ack 1, win 313, length 164
20:25:56.676746 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16340:16504, ack 1, win 313, length 164
20:25:56.676819 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16504:16668, ack 1, win 313, length 164
20:25:56.676894 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16668:16832, ack 1, win 313, length 164
20:25:56.676979 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16832:16996, ack 1, win 313, length 164
20:25:56.677064 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16996:17160, ack 1, win 313, length 164
20:25:56.677231 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17160:17324, ack 1, win 313, length 164
20:25:56.677328 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17324:17488, ack 1, win 313, length 164
20:25:56.677418 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17488:17652, ack 1, win 313, length 164
20:25:56.677528 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17652:17816, ack 1, win 313, length 164
20:25:56.677640 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17816:17980, ack 1, win 313, length 164
20:25:56.677731 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17980:18144, ack 1, win 313, length 164
20:25:56.677834 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18144:18308, ack 1, win 313, length 164
20:25:56.677917 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18308:18472, ack 1, win 313, length 164
20:25:56.678044 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18472:18636, ack 1, win 313, length 164
20:25:56.678130 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18636:18800, ack 1, win 313, length 164
20:25:56.678270 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18800:18964, ack 1, win 313, length 164
20:25:56.678369 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18964:19128, ack 1, win 313, length 164
20:25:56.678455 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19128:19292, ack 1, win 313, length 164
20:25:56.679905 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 12508, win 2051, length 0
20:25:56.679942 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19292:19456, ack 1, win 313, length 164
20:25:56.680079 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19456:19732, ack 1, win 313, length 276
20:25:56.680170 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19732:19896, ack 1, win 313, length 164
20:25:56.680246 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19896:20060, ack 1, win 313, length 164
20:25:56.680324 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20060:20224, ack 1, win 313, length 164
20:25:56.680422 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20224:20388, ack 1, win 313, length 164
20:25:56.680513 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20388:20552, ack 1, win 313, length 164
20:25:56.680593 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20552:20716, ack 1, win 313, length 164
20:25:56.680668 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20716:20880, ack 1, win 313, length 164
20:25:56.680746 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20880:21044, ack 1, win 313, length 164
20:25:56.680839 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21044:21208, ack 1, win 313, length 164
20:25:56.680916 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21208:21372, ack 1, win 313, length 164
20:25:56.681003 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21372:21536, ack 1, win 313, length 164
20:25:56.681104 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21536:21700, ack 1, win 313, length 164
20:25:56.681189 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21700:21864, ack 1, win 313, length 164
20:25:56.681257 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21864:22028, ack 1, win 313, length 164
20:25:56.681367 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22028:22192, ack 1, win 313, length 164
20:25:56.681470 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22192:22356, ack 1, win 313, length 164
20:25:56.681550 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22356:22520, ack 1, win 313, length 164
20:25:56.681627 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22520:22684, ack 1, win 313, length 164
20:25:56.681702 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22684:22848, ack 1, win 313, length 164
20:25:56.681788 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22848:23012, ack 1, win 313, length 164
20:25:56.681871 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23012:23176, ack 1, win 313, length 164
20:25:56.681949 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23176:23340, ack 1, win 313, length 164
20:25:56.682024 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23340:23504, ack 1, win 313, length 164
20:25:56.682142 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23504:23668, ack 1, win 313, length 164
20:25:56.682320 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23668:23832, ack 1, win 313, length 164
20:25:56.682420 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23832:23996, ack 1, win 313, length 164
20:25:56.682498 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23996:24160, ack 1, win 313, length 164
20:25:56.682575 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24160:24324, ack 1, win 313, length 164
20:25:56.682651 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24324:24488, ack 1, win 313, length 164
20:25:56.682725 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24488:24652, ack 1, win 313, length 164
20:25:56.682799 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24652:24816, ack 1, win 313, length 164
20:25:56.682872 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24816:24980, ack 1, win 313, length 164
20:25:56.682946 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24980:25144, ack 1, win 313, length 164
20:25:56.683027 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25144:25308, ack 1, win 313, length 164
20:25:56.683102 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25308:25472, ack 1, win 313, length 164
20:25:56.683178 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25472:25636, ack 1, win 313, length 164
20:25:56.683272 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25636:25800, ack 1, win 313, length 164
20:25:56.683346 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25800:25964, ack 1, win 313, length 164
20:25:56.702224 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 17980, win 2051, length 0
20:25:56.702350 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25964:26128, ack 1, win 313, length 164
20:25:56.702453 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 22848, win 2051, length 0
20:25:56.702710 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26128:26516, ack 1, win 313, length 388
20:25:56.702859 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26516:26680, ack 1, win 313, length 164
20:25:56.703026 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26680:26844, ack 1, win 313, length 164
20:25:56.703147 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26844:27008, ack 1, win 313, length 164
20:25:56.703189 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 25964, win 2051, length 0
20:25:56.703340 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27008:27284, ack 1, win 313, length 276
20:25:56.703467 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27284:27448, ack 1, win 313, length 164
20:25:56.703580 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27448:27612, ack 1, win 313, length 164
20:25:56.703692 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27612:27776, ack 1, win 313, length 164
20:25:56.703800 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27776:27940, ack 1, win 313, length 164
20:25:56.703942 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27940:28104, ack 1, win 313, length 164
20:25:56.704074 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28104:28268, ack 1, win 313, length 164
20:25:56.704242 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28268:28432, ack 1, win 313, length 164
20:25:56.704364 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28432:28596, ack 1, win 313, length 164
20:25:56.704466 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28596:28760, ack 1, win 313, length 164
20:25:56.704565 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28760:28924, ack 1, win 313, length 164
20:25:56.704670 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28924:29088, ack 1, win 313, length 164
20:25:56.704772 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29088:29252, ack 1, win 313, length 164
20:25:56.704902 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29252:29416, ack 1, win 313, length 164
