root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:39:16.891217 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3983993215:3983993323, ack 643419406, win 313, length 108
20:39:16.933032 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6540:6576, ack 1, win 313, length 36
20:39:16.933123 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6576:6740, ack 1, win 313, length 164
20:39:16.933322 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 4772, win 2051, length 0
20:39:16.933538 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6976:7140, ack 1, win 313, length 164
20:39:16.933792 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7176:7460, ack 1, win 313, length 284
20:39:16.934004 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 7460:8112, ack 1, win 313, length 652
20:39:16.934159 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8112:8276, ack 1, win 313, length 164
20:39:16.934307 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8276:8440, ack 1, win 313, length 164
20:39:16.934413 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8440:8604, ack 1, win 313, length 164
20:39:16.934522 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8604:8768, ack 1, win 313, length 164
20:39:16.934678 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8768:8932, ack 1, win 313, length 164
20:39:16.934829 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 8932:9096, ack 1, win 313, length 164
20:39:16.934954 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9096:9260, ack 1, win 313, length 164
20:39:16.935077 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9260:9424, ack 1, win 313, length 164
20:39:16.935217 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9424:9588, ack 1, win 313, length 164
20:39:16.935334 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9588:9752, ack 1, win 313, length 164
20:39:16.935479 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9752:9916, ack 1, win 313, length 164
20:39:16.935673 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 9916:10080, ack 1, win 313, length 164
20:39:16.935858 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10080:10244, ack 1, win 313, length 164
20:39:16.935980 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10244:10408, ack 1, win 313, length 164
20:39:16.936085 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10408:10572, ack 1, win 313, length 164
20:39:16.936195 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10572:10736, ack 1, win 313, length 164
20:39:16.936299 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10736:10900, ack 1, win 313, length 164
20:39:16.936443 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 10900:11064, ack 1, win 313, length 164
20:39:16.936580 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11064:11228, ack 1, win 313, length 164
20:39:16.936735 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11228:11392, ack 1, win 313, length 164
20:39:16.936940 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11392:11556, ack 1, win 313, length 164
20:39:16.937120 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11556:11720, ack 1, win 313, length 164
20:39:16.937312 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11720:11884, ack 1, win 313, length 164
20:39:16.937506 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 11884:12048, ack 1, win 313, length 164
20:39:16.937638 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12048:12212, ack 1, win 313, length 164
20:39:16.952464 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 6776, win 2051, length 0
20:39:16.952542 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12212:12376, ack 1, win 313, length 164
20:39:16.952801 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12376:12652, ack 1, win 313, length 276
20:39:16.952928 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12652:12816, ack 1, win 313, length 164
20:39:16.953119 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12816:12980, ack 1, win 313, length 164
20:39:16.953304 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 12980:13144, ack 1, win 313, length 164
20:39:16.953460 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13144:13308, ack 1, win 313, length 164
20:39:16.953614 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13308:13472, ack 1, win 313, length 164
20:39:16.953786 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13472:13636, ack 1, win 313, length 164
20:39:16.953954 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13636:13800, ack 1, win 313, length 164
20:39:16.954118 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13800:13964, ack 1, win 313, length 164
20:39:16.954316 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 13964:14128, ack 1, win 313, length 164
20:39:16.954476 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14128:14292, ack 1, win 313, length 164
20:39:16.954621 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14292:14456, ack 1, win 313, length 164
20:39:16.954762 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14456:14620, ack 1, win 313, length 164
20:39:16.954916 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14620:14784, ack 1, win 313, length 164
20:39:16.955063 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14784:14948, ack 1, win 313, length 164
20:39:16.955207 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 14948:15112, ack 1, win 313, length 164
20:39:16.955361 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15112:15276, ack 1, win 313, length 164
20:39:16.956788 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 11556, win 2051, length 0
20:39:16.956869 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15276:15440, ack 1, win 313, length 164
20:39:16.957146 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15440:15716, ack 1, win 313, length 276
20:39:16.957237 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 12212, win 2049, length 0
20:39:16.957404 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15716:15992, ack 1, win 313, length 276
20:39:16.957582 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 15992:16156, ack 1, win 313, length 164
20:39:16.957737 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16156:16320, ack 1, win 313, length 164
20:39:16.957882 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16320:16484, ack 1, win 313, length 164
20:39:16.957990 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16484:16648, ack 1, win 313, length 164
20:39:16.958101 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16648:16812, ack 1, win 313, length 164
20:39:16.958258 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16812:16976, ack 1, win 313, length 164
20:39:16.958364 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 16976:17140, ack 1, win 313, length 164
20:39:16.958494 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17140:17304, ack 1, win 313, length 164
20:39:16.958624 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17304:17468, ack 1, win 313, length 164
20:39:16.958726 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17468:17632, ack 1, win 313, length 164
20:39:16.958824 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17632:17796, ack 1, win 313, length 164
20:39:16.958920 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17796:17960, ack 1, win 313, length 164
20:39:16.959016 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 17960:18124, ack 1, win 313, length 164
20:39:16.959111 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18124:18288, ack 1, win 313, length 164
20:39:16.959232 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18288:18452, ack 1, win 313, length 164
20:39:16.959366 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18452:18616, ack 1, win 313, length 164
20:39:16.959519 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18616:18780, ack 1, win 313, length 164
20:39:16.959638 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18780:18944, ack 1, win 313, length 164
20:39:16.959737 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 18944:19108, ack 1, win 313, length 164
20:39:16.959841 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19108:19272, ack 1, win 313, length 164
20:39:16.959939 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19272:19436, ack 1, win 313, length 164
20:39:16.960036 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19436:19600, ack 1, win 313, length 164
20:39:16.960131 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19600:19764, ack 1, win 313, length 164
20:39:16.960225 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19764:19928, ack 1, win 313, length 164
20:39:16.960326 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 19928:20092, ack 1, win 313, length 164
20:39:16.960421 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20092:20256, ack 1, win 313, length 164
20:39:16.960553 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20256:20420, ack 1, win 313, length 164
20:39:16.960658 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20420:20584, ack 1, win 313, length 164
20:39:16.960756 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20584:20748, ack 1, win 313, length 164
20:39:16.960892 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20748:20912, ack 1, win 313, length 164
20:39:16.960999 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 20912:21076, ack 1, win 313, length 164
20:39:16.961131 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21076:21240, ack 1, win 313, length 164
20:39:16.961279 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21240:21404, ack 1, win 313, length 164
20:39:16.961380 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21404:21568, ack 1, win 313, length 164
20:39:16.961524 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21568:21732, ack 1, win 313, length 164
20:39:16.961652 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21732:21896, ack 1, win 313, length 164
20:39:16.961728 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 21896:22060, ack 1, win 313, length 164
20:39:16.961811 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22060:22224, ack 1, win 313, length 164
20:39:16.961912 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22224:22388, ack 1, win 313, length 164
20:39:16.961991 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22388:22552, ack 1, win 313, length 164
20:39:16.962089 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22552:22716, ack 1, win 313, length 164
20:39:16.962186 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22716:22880, ack 1, win 313, length 164
20:39:16.962290 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 22880:23044, ack 1, win 313, length 164
20:39:16.962370 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23044:23208, ack 1, win 313, length 164
20:39:16.962462 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23208:23372, ack 1, win 313, length 164
20:39:16.962561 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23372:23536, ack 1, win 313, length 164
20:39:16.962638 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23536:23700, ack 1, win 313, length 164
20:39:16.962710 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23700:23864, ack 1, win 313, length 164
20:39:16.962786 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 23864:24028, ack 1, win 313, length 164
20:39:16.962859 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24028:24192, ack 1, win 313, length 164
20:39:16.962948 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24192:24356, ack 1, win 313, length 164
20:39:16.963023 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24356:24520, ack 1, win 313, length 164
20:39:16.963095 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24520:24684, ack 1, win 313, length 164
20:39:16.963167 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24684:24848, ack 1, win 313, length 164
20:39:16.963237 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 24848:25012, ack 1, win 313, length 164
20:39:16.963313 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25012:25176, ack 1, win 313, length 164
20:39:16.963385 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25176:25340, ack 1, win 313, length 164
20:39:16.963475 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25340:25504, ack 1, win 313, length 164
20:39:16.963565 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25504:25668, ack 1, win 313, length 164
20:39:16.975242 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 15276, win 2051, length 0
20:39:16.975363 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25668:25832, ack 1, win 313, length 164
20:39:16.975614 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 25832:26108, ack 1, win 313, length 276
20:39:16.975730 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26108:26272, ack 1, win 313, length 164
20:39:16.975827 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26272:26436, ack 1, win 313, length 164
20:39:16.975949 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26436:26600, ack 1, win 313, length 164
20:39:16.976053 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26600:26764, ack 1, win 313, length 164
20:39:16.976207 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26764:26928, ack 1, win 313, length 164
20:39:16.976321 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 26928:27092, ack 1, win 313, length 164
20:39:16.976469 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27092:27256, ack 1, win 313, length 164
20:39:16.976589 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27256:27420, ack 1, win 313, length 164
20:39:16.976699 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27420:27584, ack 1, win 313, length 164
20:39:16.976854 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27584:27748, ack 1, win 313, length 164
20:39:16.976965 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27748:27912, ack 1, win 313, length 164
20:39:16.977028 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 16320, win 2047, length 0
20:39:16.977239 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 27912:28188, ack 1, win 313, length 276
20:39:16.977382 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28188:28352, ack 1, win 313, length 164
20:39:16.977553 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28352:28516, ack 1, win 313, length 164
20:39:16.977657 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28516:28680, ack 1, win 313, length 164
20:39:16.977753 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28680:28844, ack 1, win 313, length 164
20:39:16.977926 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 28844:29008, ack 1, win 313, length 164
20:39:16.978075 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29008:29172, ack 1, win 313, length 164
20:39:16.978185 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29172:29336, ack 1, win 313, length 164
